"","TrainNo","AvgDelay"
"399","12162",144
"400","12163",28
"401","12164",43
"402","12165",118
"403","12166",64
"404","12167",0
"405","12168",39
"406","12169",16
"407","12170",20
"408","12173",79
"409","12174",40
"410","12175",57
"411","12176",64
"412","12177",78
"413","12178",130
"414","12179",27
"415","12180",29
"416","12181",60
"417","12182",94
"418","12183",66
"419","12184",95
"420","12185",87
"421","12186",64
"422","12189",98
"423","12190",172
"424","12191",174
"425","12192",123
"426","12193",11
"427","12194",64
"428","12195",24
"429","12196",25
"430","12197",53
"431","12198",34
"432","12225",137
"433","12226",84
"434","12229",59
"435","12230",47
"436","12231",85
"437","12232",114
"438","12237",117
"439","12238",167
"440","12241",22
"441","12242",11
"442","12251",0
"443","12252",248
"444","12253",0
"445","12254",0
"446","12279",72
"447","12280",25
"448","12291",27
"449","12292",19
"450","12295",0
"451","12296",0
"452","12303",167
"453","12304",88
"454","12307",0
"455","12308",0
"456","12311",0
"457","12312",0
"458","12315",0
"459","12316",88
"460","12317",113
"461","12318",157
"462","12319",75
"463","12320",114
"464","12321",0
"465","12322",0
"466","12323",0
"467","12324",0
"468","12325",15
"469","12326",71
"470","12327",115
"471","12328",0
"472","12331",0
"473","12332",0
"474","12333",69
"475","12334",108
"476","12335",87
"477","12336",40
"478","01025",0
"479","01026",0
"480","01027",0
"481","01028",0
"482","01066",60
"483","01139",124
"484","01140",139
"485","01151",91
"486","01152",22
"487","01165",220
"488","01166",422
"489","01167",170
"490","01168",248
"491","01169",228
"492","01170",312
"493","01171",163
"494","01172",229
"495","01185",111
"496","01186",146
"497","01187",365
"498","01188",246
"499","01423",53
"500","01424",85
"501","01438",0
"502","01439",125
"503","01440",51
"504","01595",14
"505","01596",18
"506","01611",10
"507","01612",34
"508","01619",78
"509","01620",41
"510","01622",33
"511","01623",21
"512","01653",0
"513","01654",0
"514","01661",270
"515","01662",0
"516","01665",0
"517","01666",0
"518","01705",219
"519","01706",318
"520","01823",102
"521","01824",85
"522","01861",3
"523","01862",3
"524","01867",3
"525","01868",0
"526","01869",0
"527","01901",55
"528","01902",84
"529","01907",73
"530","01908",68
"531","02200",64
"532","02831",85
"533","02832",119
"534","02847",33
"535","02897",7
"536","02898",7
"537","03215",49
"538","03216",31
"539","03226",322
"540","03229",148
"541","03230",102
"542","03247",0
"543","03248",0
"544","03357",0
"545","03358",44
"546","03369",64
"547","03370",34
"548","03461",20
"549","03462",9
"550","03467",9
"551","03468",9
"552","03477",10
"553","03478",12
"554","03491",8
"555","03492",0
"556","03493",6
"557","03494",0
"558","03495",0
"559","03496",0
"560","03497",0
"561","03498",0
"562","03605",29
"563","03606",11
"564","03617",106
"565","03619",94
"566","03620",46
"567","03637",15
"568","03638",0
"569","04101",89
"570","04102",38
"571","04119",16
"572","04120",22
"573","04143",58
"574","04144",59
"575","04153",41
"576","04154",25
"577","04169",17
"578","04170",16
"579","04173",17
"580","04174",34
"581","04241",67
"582","04242",19
"583","04247",15
"584","04248",14
"585","04251",17
"586","04252",17
"587","04253",21
"588","04254",15
"589","04255",55
"590","04256",75
"591","04257",48
"592","04258",9
"593","04259",47
"594","04260",41
"595","04279",63
"596","04282",34
"597","04283",56
"598","04285",39
"599","04286",85
"600","04319",215
"601","04320",61
"602","04349",76
"603","04350",36
"604","04351",22
"605","04352",39
"606","04353",14
"607","04354",23
"608","04355",75
"609","04356",80
"610","04357",36
"611","04358",40
"612","04359",35
"613","04360",40
"614","04361",34
"615","04362",21
"616","04363",9
"617","04364",10
"618","04365",41
"619","04366",32
"620","04367",15
"621","04368",49
"622","04375",70
"623","04376",36
"624","04377",59
"625","04378",44
"626","04379",61
"627","04380",113
"628","04385",19
"629","04386",55
"630","04391",4
"631","04392",30
"632","04393",67
"633","04394",38
"634","04397",18
"635","04398",25
"636","04399",71
"637","04400",0
"638","04454",16
"639","04509",40
"640","04510",58
"641","04521",32
"642","04522",24
"643","04531",16
"644","04547",35
"645","04548",41
"646","04549",13
"647","04550",11
"648","04551",9
"649","04552",16
"650","04555",15
"651","04556",19
"652","04599",53
"653","04600",19
"654","04693",0
"655","04694",0
"656","04695",0
"657","04696",0
"658","04705",20
"659","04706",53
"660","04711",15
"661","04712",0
"662","04713",42
"663","04714",69
"664","04743",33
"665","04744",29
"666","04745",52
"667","04746",35
"668","04771",16
"669","04772",62
"670","04783",24
"671","04784",92
"672","04809",38
"673","04810",10
"674","04813",53
"675","04962",13
"676","04969",25
"677","04971",20
"678","12121",119
"679","12122",102
"680","12217",0
"681","12218",0
"682","12329",107
"683","12330",119
"684","12445",33
"685","12446",41
"686","12447",75
